"gene_id","biomart_id","entrez_id","gene_name","log2FoldChange","pvalue","padj"
"ENSG00000234788.1","ENSG00000234788","100420143","HSPA8P3",1.31836562974717,0.00197390933625493,0.00389236430404853
"ENSG00000224153.3","ENSG00000224153","105374250","LINC02054",1.3178881997873,0.000274638804964656,0.000621261781828211
"ENSG00000250860.1","ENSG00000250860",NA,NA,-1.31785536544677,0.00539309001045889,0.00984599715630369
"ENSG00000106853.20","ENSG00000106853","22949","PTGR1",1.31758459604217,3.10868639193402e-14,2.05693760675345e-13
"ENSG00000252933.1","ENSG00000252933","106481566","RNU6-1223P",1.31751701926359,5.39707423260708e-08,1.98328237150477e-07
"ENSG00000174137.13","ENSG00000174137","152877","FAM53A",1.31748354766108,6.39840456599815e-27,1.05523161618712e-25
"ENSG00000242737.1","ENSG00000242737",NA,NA,1.31737874964578,1.36496110421836e-05,3.73127359676939e-05
"ENSG00000272800.3","ENSG00000272800",NA,NA,1.31729053018475,8.94418210454009e-20,9.01798034346287e-19
"ENSG00000006283.18","ENSG00000006283","8913","CACNA1G",1.31689599547509,1.39774464091448e-07,4.89093560279791e-07
"ENSG00000240520.6","ENSG00000240520",NA,NA,1.31686048362969,0.000342097024701681,0.000762845238481067
"ENSG00000234557.2","ENSG00000234557","111082985","PPIAP90",1.31661700323571,3.61142648256391e-05,9.33806839346907e-05
"ENSG00000248516.1","ENSG00000248516",NA,NA,-1.31658334500151,1.12558931344327e-05,3.10888859733316e-05
"ENSG00000105492.16","ENSG00000105492","946","SIGLEC6",-1.31653207905124,8.16906241969727e-11,4.02344896474346e-10
"ENSG00000270302.1","ENSG00000270302",NA,NA,1.31652357682239,0.0286709137876109,0.045687043841217
"ENSG00000276180.1","ENSG00000276180","8294","H4C9",1.31646170412989,1.16270651557515e-23,1.556508151717e-22
"ENSG00000164023.14","ENSG00000164023","166929","SGMS2",-1.31641844624057,1.4364405861627e-25,2.16547120530486e-24
"ENSG00000226465.3","ENSG00000226465",NA,NA,1.31587987486564,4.36268283822954e-12,2.40435343505392e-11
"ENSG00000183760.11","ENSG00000183760","390928","ACP7",1.31576385158617,0.000163227900957945,0.000382860759617393
"ENSG00000282420.1","ENSG00000282420","28634","TRBJ1-2",1.3156345458979,3.65163618733311e-06,1.07678717417568e-05
"ENSG00000262903.1","ENSG00000262903",NA,NA,1.31562508365147,2.05645363929751e-14,1.37942759483704e-13
"ENSG00000265943.1","ENSG00000265943",NA,NA,1.31560752788606,1.33915399181917e-12,7.74520058894071e-12
"ENSG00000154678.18","ENSG00000154678","5137","PDE1C",-1.31558742277511,7.95548808331026e-10,3.55360255296546e-09
"ENSG00000133195.11","ENSG00000133195","201266","SLC39A11",1.31555106518845,2.54964229513799e-47,1.30666189071739e-45
"ENSG00000112531.17","ENSG00000112531","9444","QKI",-1.31552997328026,1.61664041993699e-49,9.25853767391849e-48
"ENSG00000279926.1","ENSG00000279926",NA,NA,1.3153293524467,3.3591232378791e-15,2.39261856344403e-14
"ENSG00000286181.1","ENSG00000286181",NA,NA,1.31528960018856,3.46049434722493e-14,2.28077563879823e-13
"ENSG00000254475.1","ENSG00000254475","390225","OR2AT1P",-1.31505163405761,0.00357454329292105,0.00675155600263298
"ENSG00000235892.1","ENSG00000235892",NA,NA,1.31493722889968,0.0080504365406943,0.0142364897248244
"ENSG00000189152.11","ENSG00000189152","400581","GRAPL",-1.31464553470913,3.3876442182922e-10,1.571289534915e-09
"ENSG00000268336.1","ENSG00000268336",NA,NA,-1.31462417358955,0.00198726011229545,0.00391675414980182
